sample_size_train,time_create_model,sample_size_test,time_apply_model,score_5_knn
59.2,0.0006908000214025378,14.8,0.005229000002145767,0.8
118.4,0.0005890000029467046,29.6,0.005062299955170602,0.9333333333333333
177.60000000000002,0.0005603000172413886,44.400000000000006,0.005775099969469011,0.7777777777777778
236.8,0.0006113999988883734,59.2,0.006196799979079515,0.9
296.0,0.0007085999823175371,74.0,0.006836400018073618,0.8648648648648649
355.20000000000005,0.0006000999710522592,88.80000000000001,0.007131199992727488,0.8651685393258427
414.40000000000003,0.0005944999866187572,103.60000000000001,0.007669000013265759,0.8653846153846154
473.6,0.0006207000114955008,118.4,0.007247900008223951,0.9327731092436975
532.8000000000001,0.0006069999653846025,133.20000000000002,0.007689399993978441,0.8432835820895522
592.0,0.0006046000053174794,148.0,0.007771000033244491,0.8851351351351351
651.2,0.000660700025036931,162.8,0.00852360000135377,0.8404907975460123
710.4000000000001,0.0006221999647095799,177.60000000000002,0.009324700047727674,0.8707865168539326
769.6,0.000666900014039129,192.4,0.009742799971718341,0.9015544041450777
828.8000000000001,0.000685499981045723,207.20000000000002,0.009862900013104081,0.8894230769230769
888.0,0.00062959996284917,222.0,0.00979800004279241,0.8873873873873874
947.2,0.0006355000077746809,236.8,0.010463899991009384,0.8945147679324894
1006.4000000000001,0.0006175999878905714,251.60000000000002,0.010337800020352006,0.8968253968253969
1065.6000000000001,0.0006300000241026282,266.40000000000003,0.013614800001960248,0.9213483146067416
1124.8,0.0007872999995015562,281.2,0.01417749997926876,0.9148936170212766
1184.0,0.0007243000436574221,296.0,0.013718499976675957,0.902027027027027
1243.2,0.000687299994751811,310.8,0.013716600020416081,0.9228295819935691
1302.4,0.0006517000147141516,325.6,0.014591099985409528,0.8865030674846626
1361.6000000000001,0.0006744999554939568,340.40000000000003,0.014650400029495358,0.906158357771261
1420.8000000000002,0.0009396999957971275,355.20000000000005,0.016045299998950213,0.8932584269662921
1480.0,0.0007955000037327409,370.0,0.016173499985598028,0.8675675675675676
1539.2,0.0007480999920517206,384.8,0.01654670003335923,0.9012987012987013
1598.4,0.0007523999665863812,399.6,0.016129600000567734,0.8675
1657.6000000000001,0.0007559999939985573,414.40000000000003,0.01694230001885444,0.8698795180722891
1716.8000000000002,0.0006994999712333083,429.20000000000005,0.017515000014100224,0.8906976744186047
1776.0,0.0007528000278398395,444.0,0.018083699978888035,0.8716216216216216
